slang,formal
ngingetin,mengingatkan
setujuuuu,setuju
sering2,sering-sering
ceemen,cemen
cerdiik,cerdik
jeniuss,jenius
kurangin,kurangi
kreen,keren
mauuuuuu,mau
mintk,minta
pnjng,panjang
slaluuuuu,selalu
kanggggg,kang
rezeqinya,rezekinya
pintr,pintar
dekk,dek
maw,mau
kura2,kura-kura
edaaann,edan
nempel,menempel
hatiiii,hati
luuuucuuu,lucu
caantiiik,cantik
luucuuu,lucu
siiih,sih
ternyataa,ternyata
rekomendasiin,rekomendasikan
pollll,pol
naaaa,nya
mantapppppp,mantap
jlbb,jilbab
dempga,semoga
selmnya,selamanya
tth,teteh
trusss,terus
ademm,adem
apalagiii,apalagi
passs,pas
beginii,begini
satuu,satu
cuantek,cantik
akuuuur,akur
iniehh,ini
dehhh,deh
sayangx,sayangnya
jodohx,jodohnya
kaliaan,kalian
kmbali,kembali
cantk,cantik
ituuu,itu
kaasian,kasihan
naaahhh,nah
beluumm,belum
sayangggq,sayangku
berenanh,berenang
yuuk,yuk
pacarr,pacar
kuu,ku
bingitss,banget
besokkk,besok
annnnjjjjjjrrrr,anjir
ngeliatin,melihati
ngumbar2,mengumbar-umbar
romantiss,romantis
lucuuuuuuuu,lucu
lgs,langsung
yaang,yang
ngeluarin,mengeluarkan
bangedt,banget
dahh,dah
gde,gede
lutunaaa,lucunya
bikinnn,bikin
keee,ke
bungkuuussss,bungkus
lucux,lucunya
buanyaaak,banyak
aaamiiinnn,amin
aaamiiin,amin
ntap,mantap
abgnyaah,abangnya
mungkiin,mungkin
akuhh,aku
pastii,pasti
manteb,mantap
hiduupppp,hidup
tebel,tebal
nganggepin,menanggapi
perjabatt,pejabat
baikk,baik
semngat,semangat
benneeeeeerr,benar
krjaan,pekerjaan
kdng,kadang
kdang,kadang
knan,kanan
klok,kalau
aamiiiinnnnn,amin
kmren,kemarin
pengennnn,pengin
kann,kan
siiiiiiippppppppp,sip
selaloe,selalu
mauuuu,mau
donggg,dong
beruntungnyaaaa,beruntungnya
soal'y,soalnya
ampunn,ampun
gueeeee,gue
liatt,lihat
gehh,gih
ankknyaaa,anaknya
centilnyaaaaaa,centilnya
gemesshzzzzhzzhzhzhsjssjs,gemas
ngacaaa,mengaca
diaaa,dia
jirr,anjir
kayaa,kaya
cempreeng,cempreng
centillll,centil
pcran,pacaran
jugak,juga
mantep,mantap
anedh,banget
boro2,boro-boro
nyta,nyata
kampungn,kampungan
j,saja
mnghina,menghina
ngolokin,mengolok
than,tahan
dsr,dasar
siriik,sirik
mampuuu,mampu
khan,kan
aduuhh,aduh
cemburuu,cemburu
k,ke
bingitzzzz,banget
tlog,tolong
cuco,cocok
usahh,usah
genittt,genit
kx,kak
mlikk,milik
canci,cantik
aneed,banget
gimanaa,bagaimana
kenalin,memperkenalkan
bagaimanaaa,bagaimana
krudung,kerudung
enakkkkk,enak
poool,pol
jirrrr,anjir
oprasiya,operasinya
uwee,gue
pilihannny,pilihannya
itumahh,itumah
muuuu,mu
uuhhh,uh
berbakiti,berbakti
slmttt,selamat
hbs,habis
tetp,tetap
ditengah2,ditengah-tengah
semuanyaa,semuanya
semuannyaaa,semuanya
aminn2,amin-amin
sempet,sempat
aduuuh,aduh
cakeep,cakep
gimn,bagaimana
smogaaa,semoga
biza,bisa
aamien,amien
lngsing,langsing
wowoooww,wow
senang2,senang-senang
jh,saja
seh,sih
kereeennnn,keren
gilakkk,gila
gtu2,begitu-gitu
gataunya,enggak taunya
gatau,enggak tau
fans2,fan-fan
gaharus,enggak harus
tf,transfer
trf,transfer
byr,bayar
instal,install
verivikasi,verifikasi
lemot,lambat
dngn,dengan
jlk,jelek
apl,aplikasi
gasampe,enggak sampai
apk,aplikasi
tranfer,transfer
pengecekan,cek
pinjem,pinjam
prtama,pertama
muanteb,mantap
pkr,pikir
memuaskan,puas
adm,administrasi
syukak,suka
muantaab,mantap
muantab,mantap
mengecek,cek
indak,tidak
appl,aplikasi
wjah,wajah
kpda,kepada
tbah,tambah
trkndala,terkendala
boz,bos
mayan,lumayan
ribed,ribet
ntapz,mantap
ntaps,mantap
